Well_Combinations,,,,,
Plate,Well,384 well plate,384 well location,Sample #,Combination
2,F9,1,K07,166,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Valine"
2,G9,1,K19,167,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine"
2,H9,1,L19,168,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine"
2,A10,1,H08,169,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Valine"
2,B10,1,H20,170,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine"
2,C10,1,I12,171,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, L-Valine"
2,D10,1,J04,172,"D-Alanine, L-Alanine, L-Proline, DL-Serine, L-Valine"
2,E10,1,J16,173,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine"
2,F10,1,K08,174,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine"
2,G10,1,K20,175,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine"
2,H10,1,L20,176,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine"
2,A11,1,H09,177,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, L-Valine"
2,B11,1,H21,178,"D-Alanine, L-Alanine, L-Histidine, DL-Serine, L-Valine"
2,C11,1,I13,179,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,D11,1,J05,180,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine"
2,E11,1,J17,181,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine"
2,F11,1,K09,182,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine, L-Valine"
2,G11,1,K21,183,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine"
2,H11,1,L21,184,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine"
2,A12,1,H10,185,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine"
2,B12,1,H22,186,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine"
2,C12,1,I14,187,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine"
2,D12,1,J06,188,"D-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine"
2,E12,1,J18,189,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,F12,1,K10,190,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine"
2,G12,1,K22,191,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine"
2,H12,1,L22,192,"D-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine"
3,A1,2,C03,193,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
3,B1,2,C11,194,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
3,C1,2,C19,195,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
3,D1,2,D07,196,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine"
3,E1,2,D15,197,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
3,F1,2,E03,198,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine"
3,G1,2,E11,199,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine"
3,H1,2,E19,200,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine"
3,A2,2,C04,201,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine"
3,B2,2,C12,202,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine"
3,C2,2,C20,203,"L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine"
3,D2,2,D08,204,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine"
